,premise,hypothesis,label
0,Buen día.,Saludo,0
1,¿Cómo se encuentra el día de hoy?,Saludo,0
2,Espero que no llame más hasta el día del juicio final.,Saludo,1
3,Es un día lluvioso.,Saludo,1
4,Le doy la bienvenida a nuestro centro de ayuda.,Saludo,0
5,Espero se encuentre bien el día de hoy.,Saludo,0
6,Son buenos los días en verano.,Saludo,1
7,Es un gusto saludarlo.,Saludo,0
8,No es un gusto saludarlo.,Saludo,0
9,Hace calor hoy.,Saludo,1
10,Buenas tardes.,Saludo,0
11,Buenas noches.,Saludo,0
12,Buenos días.,Saludo,0
13,¿Cómo está?,Saludo,0
14,Muy buenos días.,Saludo,0
15,Muy buenas tardes.,Saludo,0
16,Muy buenas noches.,Saludo,0
17,Excelente día.,Saludo,0
18,¿Qué tal?,Saludo,0
19,¿Qué tal está?,Saludo,0
20,¿Cómo estás?,Saludo,0
21,¿Cómo le va?,Saludo,0
22,¿Cómo te va?,Saludo,0
23,¿Cómo está usted?,Saludo,0
24,Que gusto poder atenderlo.,Saludo,0
25,Espero se encuentre bien.,Saludo,0
26,Hola!,Saludo,0
27,Hoy no es mi día.,Saludo,1
28,He tenido un día fatal.,Saludo,1
29,¿Cómo está el helado?,Saludo,1
30,¿Cómo pudo llegar el día?,Saludo,1
31,Dijo: '¿Cómo lo puedo ayudar?',Ofreció ayuda,0
32,Dijo: '¿Cómo se encuentra el día de hoy?',Ofreció ayuda,1
33,Dijo: '¡Qué difícil es la tarea de atender al público!',Ofreció ayuda,1
34,Dijo: '¿Cómo lo puedo matar?',Ofreció ayuda,1
35,Dijo: 'Le doy la bienvenida.',Ofreció ayuda,1
36,Dijo: 'Espero poder ayudarlo el día de hoy',Ofreció ayuda,0
37,Dijo: '¿En qué podemos ayudarlo en este momento?',Ofreció ayuda,0
38,Dijo: 'Es un gusto atender su consulta.',Ofreció ayuda,0
39,Dijo: 'No es un gusto atender su consulta.',Ofreció ayuda,1
40,Dijo: 'Hay muchas consultas hoy.',Ofreció ayuda,1
41,"Dijo: 'Es un gusto asistirle, dígame ¿Cómo?'",Ofreció ayuda,0
42,Dijo: '¿En qué puedo servirle?',Ofreció ayuda,0
43,Dijo: '¿Qué necesita?',Ofreció ayuda,0
44,Dijo: 'Estoy a su disposición para asistirle.',Ofreció ayuda,0
45,Dijo: 'Dígame ¿cómo lo puedo ayudar?',Ofreció ayuda,0
46,Dijo: '¿Qué tengo que hacer para que no llame más?',Ofreció ayuda,1
47,Dijo: 'Buen día.',Saludó,0
48,Dijo: '¿Cómo se encuentra el día de hoy?',Saludó,0
49,Dijo: 'Espero que no llame más hasta el día del juicio final.',Saludó,1
50,Dijo: 'Es un día lluvioso.',Saludó,1
51,Dijo: 'Le doy la bienvenida a nuestro centro de ayuda.',Saludó,0
52,Dijo: 'Espero se encuentre bien el día de hoy.',Saludó,0
53,Dijo: 'Son buenos los días en verano.',Saludó,1
54,Dijo: 'Es un gusto saludarlo.',Saludó,0
55,Dijo: 'No es un gusto saludarlo.',Saludó,0
56,Dijo: 'Hace calor hoy.',Saludó,1
57,'Buen día.' Es un saludo.,Es verdad,0
58,'¿Cómo se encuentra el día de hoy?' Es un saludo.,Es verdad,0
59,'Espero que no llame más hasta el día del juicio final.' Es un saludo.,Es verdad,1
60,'Es un día lluvioso.' Es un saludo.,Es verdad,1
61,'Le doy la bienvenida a nuestro centro de ayuda.' Es un saludo.,Es verdad,0
62,'Espero se encuentre bien el día de hoy.' Es un saludo.,Es verdad,0
63,'Son buenos los días en verano' Es un saludo.,Es verdad,1
64,'Es un gusto saludarlo.' Es un saludo.,Es verdad,0
